ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U01,carcass,U01,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U02,carcass,U02,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U03,carcass,U03,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U04,carcass,U04,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U05,carcass,U05,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U07,carcass,U07,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U08,carcass,U08,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U09,carcass,U09,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U10,carcass,U10,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U11,carcass,U11,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U12,carcass,U12,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U13,carcass,U13,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U14,carcass,U14,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U15,carcass,U15,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U16,carcass,U16,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U17,carcass,U17,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U18,carcass,U18,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U19,carcass,U19,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U20,carcass,U20,BCA2A,NA,BCA2A-NA,NA,collected,N,NA,NA
U21,carcass,U21,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U22,carcass,U22,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U23,carcass,U23,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U24,carcass,U24,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U25,carcass,U25,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U26,carcass,U26,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U27,carcass,U27,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U28,carcass,U28,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U29,carcass,U29,BCA2A,NA,BCA2A-NA,NA,collected,N,NA,NA
U30,carcass,U30,BCA2A,NA,BCA2A-NA,NA,collected,N,NA,NA
U31,carcass,U31,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U32,carcass,U32,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U33,carcass,U33,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U34,carcass,U34,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U35,carcass,U35,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U36,carcass,U36,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U37,carcass,U37,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U38,carcass,U38,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U40,carcass,U40,BCA2A,NA,BCA2A-NA,NA,collected,N,NA,NA
U41,carcass,U41,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U42,carcass,U42,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U43,carcass,U43,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U45,carcass,U45,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
U46,carcass,U46,BCA1A,NA,BCA1A-NA,NA,collected,N,NA,NA
