ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U01,DNA,SDN1,BDNCU1,1,BDNCU1-1,NA,collected,N,NA,NA
U02,DNA,SDN4,BDNCU1,2,BDNCU1-2,NA,collected,N,NA,NA
U03,DNA,SDN6,BDNCU1,3,BDNCU1-3,NA,collected,N,NA,NA
U04,DNA,SDN9,BDNCU1,4,BDNCU1-4,NA,collected,N,NA,NA
U05,DNA,SDN10,BDNCU1,5,BDNCU1-5,NA,collected,N,NA,NA
U07,DNA,SDN17,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U08,DNA,SDN18,BDNCU1,7,BDNCU1-7,NA,collected,N,NA,NA
U09,DNA,SDN19,BDNCU1,8,BDNCU1-8,NA,collected,N,NA,NA
U10,DNA,SDN20,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U11,DNA,SDN2,BDNCU1,11,BDNCU1-11,NA,collected,N,NA,NA
U12,DNA,SDN3,BDNCU1,12,BDNCU1-12,NA,collected,N,NA,NA
U13,DNA,SDN5,BDNCU1,13,BDNCU1-13,NA,collected,N,NA,NA
U14,DNA,SDN7,BDNCU1,14,BDNCU1-14,NA,collected,N,NA,NA
U15,DNA,SDN8,BDNCU1,15,BDNCU1-15,NA,collected,N,NA,NA
U16,DNA,SDN12,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U17,DNA,SDN21,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U18,DNA,SDN32,BDNCU1,20,BDNCU1-20,NA,collected,N,NA,NA
U19,DNA,SDN40,BDNSO1,17,BDNSO1-17,NA,collected,N,NA,NA
U20,DNA,SDN63,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U21,DNA,SDN13,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U22,DNA,SDN14,BDNCU1,16,BDNCU1-16,NA,collected,N,NA,NA
U23,DNA,SDN22,BDNCU1,17,BDNCU1-17,NA,collected,N,NA,NA
U24,DNA,SDN23,BDNCU1,18,BDNCU1-18,NA,collected,N,NA,NA
U25,DNA,SDN24,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U26,DNA,SDN33,BDNSO1,12,BDNSO1-12,NA,collected,N,NA,NA
U27,DNA,SDN34,BDNSO1,16,BDNSO1-16,NA,collected,N,NA,NA
U28,DNA,SDN41,BDNSO1,19,BDNSO1-19,NA,collected,N,NA,NA
U29,DNA,SDN42,BDNSO1,22,BDNSO1-22,NA,collected,N,NA,NA
U30,DNA,SDN43,BDNSO1,25,BDNSO1-25,NA,collected,N,NA,NA
U31,DNA,SDN15,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U32,DNA,SDN16,BDNCO1,1,BDNCO1-1,NA,collected,N,NA,NA
U33,DNA,SDN25,BDNCO1,2,BDNCO1-2,NA,collected,N,NA,NA
U34,DNA,SDN26,BDNCO1,3,BDNCO1-3,NA,collected,N,NA,NA
U35,DNA,SDN27,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
