ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U99,RNA,BRN1-H3,BRN1,H3,BRN1-H3,NA,being processed,N,NA,NA
U127,RNA,BRN1-H2,BRN1,H2,BRN1-H2,NA,being processed,N,NA,NA
U128,RNA,BRN1-G2,BRN1,G2,BRN1-G2,NA,being processed,N,NA,NA
U129,RNA,BRN1-F2,BRN1,F2,BRN1-F2,NA,being processed,N,NA,NA
U130,RNA,BRN1-E2,BRN1,E2,BRN1-E2,NA,being processed,N,NA,NA
U200,RNA,BRN1-G3,BRN1,G3,BRN1-G3,NA,being processed,N,NA,NA
U207,RNA,BRN1-H1,BRN1,H1,BRN1-H1,NA,being processed,N,NA,NA
U208,RNA,BRN1-G1,BRN1,G1,BRN1-G1,NA,being processed,N,NA,NA
U209,RNA,BRN1-F1,BRN1,F1,BRN1-F1,NA,being processed,N,NA,NA
U210,RNA,BRN1-E1,BRN1,E1,BRN1-E1,NA,being processed,N,NA,NA
U213,RNA,BRN1-A4,BRN1,A4,BRN1-A4,NA,being processed,N,NA,NA
U214,RNA,BRN1-B4,BRN1,B4,BRN1-B4,NA,being processed,N,NA,NA
U215,RNA,BRN1-C4,BRN1,C4,BRN1-C4,NA,being processed,N,NA,NA
U216,RNA,BRN1-D4,BRN1,D4,BRN1-D4,NA,being processed,N,NA,NA
U217,RNA,BRN1-E4,BRN1,E4,BRN1-E4,NA,being processed,N,NA,NA
U218,RNA,BRN1-F4,BRN1,F4,BRN1-F4,NA,being processed,N,NA,NA
U219,RNA,BRN1-G4,BRN1,G4,BRN1-G4,NA,being processed,N,NA,NA
U220,RNA,BRN1-H4,BRN1,H4,BRN1-H4,NA,being processed,N,NA,NA
U221,RNA,BRN1-A6,BRN1,A6,BRN1-A6,NA,being processed,N,NA,NA
U222,RNA,BRN1-B6,BRN1,B6,BRN1-B6,NA,being processed,N,NA,NA
U223,RNA,BRN1-C6,BRN1,C6,BRN1-C6,NA,being processed,N,NA,NA
U224,RNA,BRN1-D6,BRN1,D6,BRN1-D6,NA,being processed,N,NA,NA
U225,RNA,BRN1-E6,BRN1,E6,BRN1-E6,NA,being processed,N,NA,NA
U226,RNA,BRN1-F6,BRN1,F6,BRN1-F6,NA,being processed,N,NA,NA
U227,RNA,BRN1-G6,BRN1,G6,BRN1-G6,NA,being processed,N,NA,NA
U228,RNA,BRN1-H6,BRN1,H6,BRN1-H6,NA,being processed,N,NA,NA
U229,RNA,BRN1-A11,BRN1,A11,BRN1-A11,NA,being processed,N,NA,NA
U230,RNA,BRN1-B11,BRN1,B11,BRN1-B11,NA,being processed,N,NA,NA
U231,RNA,BRN1-F3,BRN1,F3,BRN1-F3,NA,being processed,N,NA,NA
U232,RNA,BRN1-E3,BRN1,E3,BRN1-E3,NA,being processed,N,NA,NA
U233,RNA,BRN1-D3,BRN1,D3,BRN1-D3,NA,being processed,N,NA,NA
U234,RNA,BRN1-C3,BRN1,C3,BRN1-C3,NA,being processed,N,NA,NA
U235,RNA,BRN1-B3,BRN1,B3,BRN1-B3,NA,being processed,N,NA,NA
U236,RNA,BRN1-A3,BRN1,A3,BRN1-A3,NA,being processed,N,NA,NA
U237,RNA,BRN1-H5,BRN1,H5,BRN1-H5,NA,being processed,N,NA,NA
U238,RNA,BRN1-G5,BRN1,G5,BRN1-G5,NA,being processed,N,NA,NA
U239,RNA,BRN1-F5,BRN1,F5,BRN1-F5,NA,being processed,N,NA,NA
U240,RNA,BRN1-E5,BRN1,E5,BRN1-E5,NA,being processed,N,NA,NA
U241,RNA,BRN1-D1,BRN1,D1,BRN1-D1,NA,being processed,N,NA,NA
U242,RNA,BRN1-C1,BRN1,C1,BRN1-C1,NA,being processed,N,NA,NA
U243,RNA,BRN1-B1,BRN1,B1,BRN1-B1,NA,being processed,N,NA,NA
U244,RNA,BRN1-A1,BRN1,A1,BRN1-A1,NA,being processed,N,NA,NA
U245,RNA,BRN1-H8,BRN1,H8,BRN1-H8,NA,being processed,N,NA,NA
U246,RNA,BRN1-G8,BRN1,G8,BRN1-G8,NA,being processed,N,NA,NA
U247,RNA,BRN1-F8,BRN1,F8,BRN1-F8,NA,being processed,N,NA,NA
U248,RNA,BRN1-E8,BRN1,E8,BRN1-E8,NA,being processed,N,NA,NA
U249,RNA,BRN1-D8,BRN1,D8,BRN1-D8,NA,being processed,N,NA,NA
U250,RNA,BRN1-C8,BRN1,C8,BRN1-C8,NA,being processed,N,NA,NA
U251,RNA,BRN1-D5,BRN1,D5,BRN1-D5,NA,being processed,N,NA,NA
U252,RNA,BRN1-C5,BRN1,C5,BRN1-C5,NA,being processed,N,NA,NA
U253,RNA,BRN1-B5,BRN1,B5,BRN1-B5,NA,being processed,N,NA,NA
U254,RNA,BRN1-A5,BRN1,A5,BRN1-A5,NA,being processed,N,NA,NA
U255,RNA,BRN1-H9,BRN1,H9,BRN1-H9,NA,being processed,N,NA,NA
U256,RNA,BRN1-G9,BRN1,G9,BRN1-G9,NA,being processed,N,NA,NA
U257,RNA,BRN1-F9,BRN1,F9,BRN1-F9,NA,being processed,N,NA,NA
U258,RNA,BRN1-E9,BRN1,E9,BRN1-E9,NA,being processed,N,NA,NA
U259,RNA,BRN1-D9,BRN1,D9,BRN1-D9,NA,being processed,N,NA,NA
U260,RNA,BRN1-C9,BRN1,C9,BRN1-C9,NA,being processed,N,NA,NA
U261,RNA,BRN1-B8,BRN1,B8,BRN1-B8,NA,being processed,N,NA,NA
U262,RNA,BRN1-A8,BRN1,A8,BRN1-A8,NA,being processed,N,NA,NA
U263,RNA,BRN1-H10,BRN1,H10,BRN1-H10,NA,being processed,N,NA,NA
U264,RNA,BRN1-G10,BRN1,G10,BRN1-G10,NA,being processed,N,NA,NA
U265,RNA,BRN1-F10,BRN1,F10,BRN1-F10,NA,being processed,N,NA,NA
U266,RNA,BRN1-E10,BRN1,E10,BRN1-E10,NA,being processed,N,NA,NA
U267,RNA,BRN1-D10,BRN1,D10,BRN1-D10,NA,being processed,N,NA,NA
U268,RNA,BRN1-C10,BRN1,C10,BRN1-C10,NA,being processed,N,NA,NA
U269,RNA,BRN1-B10,BRN1,B10,BRN1-B10,NA,being processed,N,NA,NA
U270,RNA,BRN1-A10,BRN1,A10,BRN1-A10,NA,being processed,N,NA,NA
U271,RNA,BRN1-B9,BRN1,B9,BRN1-B9,NA,being processed,N,NA,NA
U272,RNA,BRN1-A9,BRN1,A9,BRN1-A9,NA,being processed,N,NA,NA
U273,RNA,BRN1-H12,BRN1,H12,BRN1-H12,NA,being processed,N,NA,NA
U274,RNA,BRN1-G12,BRN1,G12,BRN1-G12,NA,being processed,N,NA,NA
U275,RNA,BRN1-F12,BRN1,F12,BRN1-F12,NA,being processed,N,NA,NA
U276,RNA,BRN1-E12,BRN1,E12,BRN1-E12,NA,being processed,N,NA,NA
