ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,fish_lab_qc_data,fish_lab_qc_flag,fish_lab_flag_reason,fish_lab_qc_log
U01,2015-05-20-J05-CU-6,2015-09-10,none,none,NA,NA,118,NA,From thawed JS fish. One otolith collected,NA,CK,work-up excluding cold samples,CK,N,NA,NA
U11,2015-05-20-J05-CU-10,2015-09-10,none,none,NA,NA,132,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U12,2015-05-20-J05-CU-4,2015-09-10,none,none,NA,NA,143,NA,From thawed JS fish. One broken otolith,One broken otolith,KI,work-up excluding cold samples,KI,N,NA,NA
U02,2015-05-20-J05-CU-1,2015-09-10,none,none,22.2,NA,128,NA,From thawed JS fish,Small spleen,CK,work-up excluding cold samples,CK,N,NA,NA
U13,2015-05-20-J05-CU-7,2015-09-11,none,none,19.5,NA,122,NA,From thawed JS fish,NA,LP,work-up excluding cold samples,KI,N,NA,NA
U03,2015-05-20-J05-CU-2,2015-09-11,none,none,24,NA,134,NA,From thawed JS fish. Sample weighed w/ some ice on body,liver was pale,DS,work-up excluding cold samples,KI,N,NA,NA
U14,2015-05-20-J05-CU-8,2015-09-14,none,none,26.3,NA,139,NA,From thawed JS fish .Scale was broken so could not weigh,NA,LP,work-up excluding cold samples,KI,N,NA,NA
U15,2015-05-20-J05-CU-5,2015-09-14,none,none,29.7,NA,147,NA,From thawed JS fish .Scale was broken so could not weigh,NA,LP,work-up excluding cold samples,KI,N,NA,NA
U04,2015-05-20-J05-CU-9,2015-09-14,none,none,22.5,NA,132,NA,From thawed JS fish. Some ice still on fish when weighed,one otolith smaller than the other (broken?),DS,work-up excluding cold samples,CK,N,NA,NA
U05,2015-05-20-J05-CU-3,2015-09-14,none,none,13.4,NA,114,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U06,2015-05-21-J06-CU-06,2015-09-14,none,none,16.3,NA,122,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,Y,Duplicate SEMSP ID (not a transcription error).,"UFN not written on tag during this period, so cannot verify"
U16,2015-05-21-J06-SO-9,2015-09-15,none,none,12.4,NA,110,NA,From thawed JS fish. 1 louse taken seems to be different species?,1 louse taken seems to be different species?,LP,work-up excluding cold samples,DS,N,NA,NA
U21,2015-05-21-J06-SO-8,2015-09-15,none,none,8.5,NA,96,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U22,2015-05-21-J06-CU-3,2015-09-15,none,none,20.6,NA,127,NA,From thawed JS fish. Forgot to weigh before stomach etc removed. otoliths may have been mixed,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U31,2015-05-21-J06-SO-10,2015-09-15,none,none,10.9,NA,96,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U32,2015-05-21-J06-CO-3,2015-09-15,none,none,NA,NA,138,NA,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,work-up excluding cold samples,CK,N,NA,NA
U07,2015-05-21-J06-SO-5,2015-09-15,none,none,12.3,NA,113,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U08,2015-05-21-J06-CU-8,2015-09-15,none,none,13.5,NA,111,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,DS,N,NA,NA
U09,2015-05-21-J06-CU-7,2015-09-15,none,none,13,NA,115,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U10,2015-05-21-J06-SO-6,2015-09-16,none,none,11.2,NA,104,NA,From thawed JS fish,Fish was small and therfore was more abraded from handling,DS,work-up excluding cold samples,KI,N,NA,NA
U17,2015-05-21-J06-SO-3,2015-09-16,none,none,9.9,NA,109,NA,From thawed JS fish,NA,LP,work-up excluding cold samples,KI,N,NA,NA
U23,2015-05-21-J06-CU-9,2015-09-16,none,none,16.4,NA,118,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,DS,N,NA,NA
U24,2015-05-21-J06-CU-2,2015-09-16,none,none,11.8,NA,105,NA,From thawed JS fish. Scale was broken so could not weigh,Scale was broken so could not weigh,KI,work-up excluding cold samples,CK,N,NA,NA
U25,2015-05-21-J06-SO-7,2015-09-16,none,none,8.6,NA,95,NA,From thawed JS fish.,1 otolith,KI,work-up excluding cold samples,CK,N,NA,NA
U33,2015-05-21-J06-CO-1,2015-09-16,none,none,20.9,NA,131,NA,From thawed JS fish. 1 caligus chal a severly destroyed,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U34,2015-05-21-J06-CO-2,2015-09-16,none,none,36.4,NA,140,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,KI,N,NA,NA
U35,2015-05-21-J06-SO-4,2015-09-16,none,none,12.2,NA,108,NA,From thawed JS fish.,1 otolith,CK,work-up excluding cold samples,DS,N,NA,NA
U36,2015-05-21-J06-CU-4,2015-09-16,none,none,14.9,NA,101,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U41,2015-05-21-J06-CU-1,2015-09-16,none,none,16.3,NA,110,NA,From thawed JS fish. Tray tipped off microscope during lice removal fish fell off onto lab coat. lab coat was inspected for lice.,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U42,2015-05-21-J06-SO-1,2015-09-16,none,none,7.6,NA,95,NA,From thawed JS fish,Missing lots of scales even before removal from bag,DS,work-up excluding cold samples,KI,N,NA,NA
